truth_condition,p,k,n_items,n_sims,seed,n_valid,n_invalid,auroc_median,auroc_p2.5,auroc_p97.5,minority_median,minority_rate_median,runtime_s,smoke,auroc_exact,exact_available
y=0,0.6,3,650,2000,1238582048,2000,0,0.42428710611764076,0.3927343806757128,0.45765396391528673,229.0,0.3523076923076923,0.675,False,0.42424242424242425,True
y=0,0.6,5,650,2000,511593237,2000,0,0.3836335643588633,0.3442838247319737,0.4216016216336672,206.0,0.3169230769230769,0.686,False,0.3826051449571254,True
y=0,0.6,7,650,2000,2466708535,2000,0,0.35174059718383727,0.31437760377670615,0.3915918433525487,188.0,0.28923076923076924,0.692,False,0.35193314590802416,True
y=0,0.6,9,650,2000,3986533980,2000,0,0.3273382535395895,0.2875911049556943,0.3686794872514363,174.0,0.2676923076923077,0.702,False,0.3270384775989154,True
y=0,0.6,15,650,2000,4101993350,2000,0,0.27039634608873975,0.23060372507378812,0.3126786765778763,139.0,0.21384615384615385,0.72,False,0.2707372686910454,True
y=0,0.65,3,650,2000,259967825,2000,0,0.38418585636971325,0.3524036562418258,0.42029081197273205,183.0,0.2815384615384615,0.674,False,0.38491048593350385,True
y=0,0.65,5,650,2000,4283062847,2000,0,0.322915717577792,0.2881087600251234,0.36127552657052847,153.0,0.2353846153846154,0.688,False,0.3236172096578067,True
y=0,0.65,7,650,2000,1888210463,2000,0,0.2808299525540281,0.24029155648001319,0.32228118188652793,130.0,0.2,0.687,False,0.2799429523339781,True
y=0,0.65,9,650,2000,3007551255,2000,0,0.24489510435946665,0.20848162623827338,0.28725151515151515,111.5,0.17153846153846153,0.697,False,0.2456952635095653,True
y=0,0.65,15,650,2000,1907308209,2000,0,0.17187070190720705,0.136536864940637,0.21677388556579885,74.0,0.11384615384615385,0.717,False,0.17336663659612245,True
y=0,0.7,3,650,2000,3383825507,2000,0,0.3432971476868561,0.3115354766253624,0.37951621592669393,140.0,0.2153846153846154,0.672,False,0.34375000000000006,True
y=0,0.7,5,650,2000,2241114078,2000,0,0.2641971066990927,0.22506720719683782,0.30370439015585293,106.0,0.16307692307692306,0.688,False,0.2645478232548042,True
y=0,0.7,7,650,2000,3092705977,2000,0,0.2099223383817798,0.17389246651469958,0.2529880252218925,82.0,0.12615384615384614,0.688,False,0.21102926636345662,True
y=0,0.7,9,650,2000,1868925243,2000,0,0.1716715602913882,0.135167695537854,0.2143390025942278,64.0,0.09846153846153846,0.695,False,0.17133814611007675,True
y=0,0.7,15,650,2000,2574291627,2000,0,0.09519557038834953,0.06317168856913823,0.1392780434792868,32.0,0.04923076923076923,0.73,False,0.09632000692709189,True
y=0,0.75,3,650,2000,638774502,2000,0,0.29982860793030874,0.26532551353472844,0.3354753195376708,101.0,0.15538461538461537,0.674,False,0.30000000000000004,True
y=0,0.75,5,650,2000,3435629353,2000,0,0.2049033562438263,0.1673224852071006,0.24750696473594647,67.0,0.10307692307692308,0.684,False,0.20588235294117657,True
y=0,0.75,7,650,2000,779792631,2000,0,0.14514362278394244,0.10910786999124106,0.19240236728426258,46.0,0.07076923076923076,0.688,False,0.14724287712581913,True
y=0,0.75,9,650,2000,3789105382,2000,0,0.10625554417644976,0.07233694453988403,0.1514868606668362,32.0,0.04923076923076923,0.69,False,0.10735184288492951,True
